Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Michal Podsiadlowski,3004,M 30-34,POL,01:06:23,05:01:20,03:09:16,09:22:25,Ironman Weymouth,09/11/2016,"Dorset, UK "
2,Soren Kofoed,3003,M 30-34,DNK,01:08:09,05:08:32,03:07:59,09:30:57,Ironman Weymouth,09/11/2016,"Dorset, UK "
1,Martin Fredriksson,3259,M 25-29,SWE,00:59:33,05:17:09,03:15:20,09:37:47,Ironman Weymouth,09/11/2016,"Dorset, UK "
3,Paul Ransome,3387,M 30-34,GBR,01:02:18,05:08:39,03:20:54,09:38:55,Ironman Weymouth,09/11/2016,"Dorset, UK "
4,Rob Arkell,3002,M 30-34,GBR,01:08:41,05:26:05,03:01:55,09:43:42,Ironman Weymouth,09/11/2016,"Dorset, UK "
1,Flemming Bjerregaard,3088,M 35-39,DNK,01:01:29,05:23:53,03:15:07,09:48:12,Ironman Weymouth,09/11/2016,"Dorset, UK "
2,Marc Joos,3017,M 25-29,CHE,00:54:42,05:22:38,03:28:48,09:52:20,Ironman Weymouth,09/11/2016,"Dorset, UK "
2,Kristjan Melikov,3485,M 35-39,EST,00:58:37,05:28:34,03:19:39,09:52:53,Ironman Weymouth,09/11/2016,"Dorset, UK "
1,Declan Doyle,3811,M 40-44,IRL,01:03:19,05:14:50,03:28:29,09:55:54,Ironman Weymouth,09/11/2016,"Dorset, UK "
3,Thierry Mathissart,3283,M 25-29,FRA,01:13:33,05:26:48,03:09:48,09:57:12,Ironman Weymouth,09/11/2016,"Dorset, UK "
3,Philip Tucker,3037,M 35-39,GBR,01:01:59,05:06:32,03:39:38,09:57:19,Ironman Weymouth,09/11/2016,"Dorset, UK "
4,Jan Kundrát,3278,M 25-29,CZE,01:08:26,05:24:05,03:19:04,09:57:49,Ironman Weymouth,09/11/2016,"Dorset, UK "
5,Alejandro Casado,3325,M 30-34,ESP,01:12:08,05:16:31,03:22:13,09:58:24,Ironman Weymouth,09/11/2016,"Dorset, UK "
1,Conrad Boerman,3050,M 45-49,NLD,01:04:54,05:21:09,03:25:49,10:00:23,Ironman Weymouth,09/11/2016,"Dorset, UK "
2,Ken Holder,3731,M 45-49,GBR,00:58:40,05:25:34,03:31:17,10:00:55,Ironman Weymouth,09/11/2016,"Dorset, UK "
