Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Emilio Aguayo Munoz,25,MPRO,ESP,00:52:30,04:46:47,02:46:38,08:34:19,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
2,Markus Thomschke,37,MPRO,DEU,00:54:52,04:34:52,03:02:11,08:38:24,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
3,Kevin Portmann,36,MPRO,FRA,01:00:13,04:42:46,03:00:47,08:50:14,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
4,Adam Feigh,32,MPRO,USA,01:01:19,04:36:51,03:07:40,08:52:59,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
5,Karl-Johan Danielsson,30,MPRO,SWE,00:56:47,04:42:10,03:11:06,08:57:02,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
6,Blake Becker,27,MPRO,USA,01:00:13,04:55:25,02:59:38,09:01:30,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
1,Alfredo Ramirez Pinho,248,M30-34,PRY,01:06:31,05:01:55,02:52:52,09:08:40,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
1,Linsey Corbin,1,FPRO,USA,01:01:15,05:04:43,03:00:07,09:13:34,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
2,Eric Engel,163,M30-34,USA,00:59:03,04:58:11,03:15:51,09:20:04,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
1,Dan J Arlandson,393,M40-44,USA,01:02:02,05:00:50,03:09:10,09:20:30,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
1,Jon Morton,257,M35-39,CAN,01:00:13,05:06:01,03:06:30,09:21:37,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
2,Wim Van DE Wielle,1861,M40-44,BEL,01:04:45,05:04:48,03:04:20,09:22:30,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
7,Jim Lubinski,35,MPRO,USA,01:08:08,05:08:41,03:00:21,09:24:57,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
3,Bryan Rusche,270,M40-44,CAN,01:08:17,05:10:43,03:00:20,09:27:10,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
1,Jaime Menendez DE Luarca,287,M45-49,ESP,00:59:08,05:04:25,03:16:02,09:27:41,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
2,Adam Johnson,382,M35-39,USA,01:02:26,04:57:07,03:20:49,09:27:54,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
2,Melanie McQuaid,4,FPRO,CAN,01:01:15,05:06:57,03:13:50,09:29:17,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
3,Scott Shumate,389,M35-39,USA,00:59:51,05:16:16,03:07:05,09:31:05,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
4,James Harrington,177,M40-44,USA,01:10:55,05:04:53,03:07:49,09:31:41,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
3,Jacob Keehan,246,M30-34,USA,01:01:43,05:13:08,03:10:55,09:33:06,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
2,Nigel Gray,407,M45-49,CAN,00:59:34,05:02:12,03:25:11,09:34:59,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
4,Craig Hoogerwerf,2514,M35-39,USA,00:58:55,05:17:39,03:10:26,09:35:35,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
5,Dustin Leutenegger,256,M35-39,USA,01:18:46,04:57:50,03:13:37,09:37:13,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
6,Bob Larue,170,M35-39,USA,01:14:47,05:14:58,03:02:39,09:40:43,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
5,Sebastian Blecke,395,M40-44,DEU,01:03:04,05:05:21,03:24:09,09:41:40,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
7,Mark Hoffman,169,M35-39,USA,01:08:24,05:11:14,03:11:24,09:41:41,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
3,Tim Hola,186,M45-49,USA,00:54:42,05:19:13,03:18:19,09:42:19,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
4,Josh Eaton,162,M30-34,USA,00:59:02,05:12:19,03:22:08,09:42:53,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
1,Aaron Scheets,559,M25-29,USA,00:58:46,05:22:47,03:13:25,09:45:01,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
6,Jason Ming,267,M40-44,USA,01:11:36,05:11:06,03:15:46,09:47:28,Ironman Wisconsin,09/08/2019,"Madison, Wisconsin, USA
"
