Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Luke McKenzie,2,MPRO,AUS,00:49:43,04:31:46,02:49:01,08:17:19,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
2,TJ Tollakson,4,MPRO,USA,00:49:36,04:33:30,02:58:46,08:28:17,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
3,Patrick McKeon,23,MPRO,USA,00:55:03,04:43:58,02:43:08,08:28:35,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
4,Andrew Starykowicz,3,MPRO,USA,00:49:39,04:24:08,03:11:55,08:32:27,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
5,Stefan Schmid,11,MPRO,DEU,00:54:52,04:43:20,02:48:44,08:34:21,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
6,Justin Daerr,6,MPRO,USA,00:54:52,04:43:55,02:57:05,08:42:02,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
7,Leon Griffin,12,MPRO,USA,00:49:41,04:51:48,02:59:37,08:48:20,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
8,Sam Long,22,MPRO,USA,00:56:03,04:48:58,03:04:20,08:54:57,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
9,Scott Defilippis,18,MPRO,USA,00:55:39,05:04:09,02:53:05,09:00:43,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
10,Thomas Gerlach,20,MPRO,USA,00:54:56,04:52:09,03:07:56,09:02:49,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
11,Ryan Rau,25,MPRO,USA,01:01:39,05:03:21,03:00:17,09:11:58,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
1,Zachary Carr,250,M40-44,USA,01:02:01,04:58:03,03:10:55,09:19:22,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
12,Blake Becker,14,MPRO,USA,01:00:34,05:00:43,03:12:33,09:20:27,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
13,Colin Laughery,21,MPRO,USA,00:59:14,05:04:56,03:12:41,09:24:56,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
2,Scott Iott,251,M40-44,USA,01:02:08,05:06:57,03:08:55,09:25:28,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
1,Luke Beirl,611,M30-34,USA,01:04:09,05:02:25,03:12:11,09:25:53,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
1,Cristian Gonzalez,293,M35-39,USA,01:06:47,05:05:21,03:08:47,09:30:04,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
2,Rick Lapinski,415,M35-39,USA,01:03:44,05:04:27,03:17:42,09:34:07,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
1,Steve Morris,960,M25-29,USA,00:54:42,05:13:31,03:17:34,09:35:18,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
3,Michal Wojtylo,304,M35-39,POL,01:05:24,05:09:05,03:15:17,09:36:59,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
3,Stephan Weber,2148,M40-44,DEU,01:01:39,05:13:16,03:15:09,09:38:04,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
2,Francis Eanes,1078,M30-34,USA,01:08:26,05:19:09,03:02:50,09:40:02,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
3,Mitchell Dyer,1077,M30-34,USA,00:54:58,05:26:01,03:18:37,09:50:25,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
2,Philip Pasch,272,M25-29,DEU,01:08:06,05:12:53,03:20:32,09:50:58,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
4,Pete Metz,612,M40-44,USA,01:03:15,05:17:16,03:22:27,09:51:36,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
4,Brian Lambert,243,M30-34,USA,01:04:27,05:18:41,03:20:37,09:52:02,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
4,Aaron Wilson,129,M35-39,USA,01:04:34,05:25:16,03:13:28,09:52:43,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
1,Bob Orton,2363,M45-49,DEU,01:01:17,05:25:58,03:18:45,09:53:57,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
5,Bryan Frank,1955,M40-44,USA,01:02:09,05:20:00,03:25:09,09:57:14,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
1,Dani Fischer,658,F25-29,USA,01:01:39,05:24:27,03:18:53,09:57:41,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
5,Andrew Kronschnabel,154,M35-39,USA,01:07:33,05:19:53,03:22:14,09:57:55,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
5,Alex Pollema,1186,M30-34,USA,01:02:53,05:15:18,03:32:26,09:58:00,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
6,Nathan Ansbaugh,1025,M30-34,USA,01:01:44,05:25:33,03:22:54,09:58:52,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
7,Theodore Petermann,389,M30-34,USA,01:06:48,05:25:10,03:19:51,10:00:10,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
6,Kevin Esser,586,M40-44,USA,01:11:28,05:12:06,03:29:50,10:01:42,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
8,Erik Sorenson,277,M30-34,USA,01:19:28,05:18:41,03:14:41,10:02:02,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
2,Brian Halusan,2272,M45-49,USA,01:01:01,05:20:30,03:28:05,10:02:57,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
6,Brandon Weiss,550,M35-39,USA,01:02:33,05:21:35,03:26:42,10:04:37,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
3,Tom Laser,942,M25-29,USA,01:09:48,05:30:47,03:08:53,10:05:51,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
7,R J Montes,575,M35-39,USA,01:09:01,05:26:01,03:22:34,10:06:45,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
4,Maxim Novitsky,964,M25-29,USA,01:05:10,05:29:23,03:21:52,10:08:26,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
3,Joel Spalding,256,M45-49,USA,01:22:43,05:03:06,03:31:45,10:08:44,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
9,Guillaume Hinse,385,M30-34,CAN,01:04:43,05:35:16,03:19:47,10:09:46,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
10,Nicholas Coil,1063,M30-34,USA,01:10:51,05:19:45,03:28:19,10:10:10,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
4,Mike Gotzler,459,M45-49,USA,01:10:53,05:20:18,03:27:47,10:11:04,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
5,David Holden,2284,M45-49,USA,00:54:30,05:34:53,03:32:05,10:11:07,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
11,Steven Brandes,1052,M30-34,USA,01:05:57,05:22:21,03:32:01,10:11:21,Ironman Wisconsin,09/10/2017,"Madison, Wisconsin, USA"
